File_Size_MB,Download_Time_Sec
10,1.25
20,2.95
30,4.53
40,6.01
50,7.4
60,8.71
70,9.96
80,11.16
90,12.3
100,13.4
110,14.46
120,15.49
130,23.45
140,24.27
150,25.07
160,16.84
170,17.6
180,18.34
190,19.07
200,19.79
210,20.5
220,21.2
230,21.89
240,22.58
250,36.65
260,36.59
270,36.6
280,36.67
290,36.8
300,36.97
310,28.18
320,28.43
330,28.7
340,29.0
350,29.32
360,29.67
370,49.85
380,48.91
390,48.13
400,47.51
410,47.0
420,46.6
430,46.29
440,46.06
450,45.9
460,36.8
470,36.75
480,36.76
490,63.05
500,61.22
510,59.67
520,58.34
530,57.2
540,56.23
550,55.4
560,54.7
570,54.1
580,53.6
590,53.18
600,52.84
610,76.25
620,73.54
630,71.2
640,69.17
650,67.4
660,65.86
670,64.51
680,63.33
690,62.3
700,61.4
710,60.62
720,59.93
730,98.45
740,94.86
750,91.73
760,80.0
770,77.6
780,75.49
790,73.62
800,71.97
810,70.5
820,69.2
830,68.05
840,67.02
850,111.65
860,107.18
870,103.27
880,99.83
890,96.8
900,94.11
910,82.73
920,80.6
930,78.7
940,77.0
950,75.48
960,74.11
970,124.85
980,119.49
990,114.8
1000,110.66
1010,107.0
1020,103.74
1030,100.84
1040,98.23
1050,95.9
1060,84.8
1070,82.91
1080,81.2
1090,138.05
1100,131.81
1110,126.33
1120,121.49
1130,117.2
1140,113.37
1150,109.95
1160,106.87
1170,104.1
1180,101.6
1190,99.34
1200,97.29
1210,151.25
1220,144.13
1230,137.87
1240,132.33
1250,127.4
1260,123.0
1270,119.05
1280,115.5
1290,112.3
1300,109.4
1310,106.77
1320,104.38
1330,173.45
1340,165.45
1350,158.4
1360,143.16
1370,137.6
1380,132.63
1390,128.16
1400,124.14
1410,120.5
1420,117.2
1430,114.2
1440,111.47
1450,186.65
1460,177.76
1470,169.93
1480,162.99
1490,156.8
1500,151.26
1510,137.27
1520,132.77
1530,128.7
1540,125.0
1550,121.63
1560,118.56
1570,199.85
1580,190.08
1590,181.47
1600,173.82
1610,167.0
1620,160.89
1630,155.38
1640,150.41
1650,145.9
1660,132.8
1670,129.06
1680,125.64
1690,213.05
1700,202.4
1710,193.0
1720,184.65
1730,177.2
1740,170.51
1750,164.49
1760,159.04
1770,154.1
1780,149.6
1790,145.49
1800,141.73
1810,226.25
1820,214.72
1830,204.53
1840,195.48
1850,187.4
1860,180.14
1870,173.6
1880,167.68
1890,162.3
1900,157.4
1910,152.92
1920,148.82
1930,248.45
1940,236.04
1950,225.07
1960,206.32
1970,197.6
1980,189.77
1990,182.71
2000,176.31
2010,170.5
2020,165.2
2030,160.35
2040,155.91
2050,261.65
2060,248.35
2070,236.6
2080,226.15
2090,216.8
2100,208.4
2110,191.82
2120,184.95
2130,178.7
2140,173.0
2150,167.78
2160,163.0
2170,274.85
2180,260.67
2190,248.13
