file_size_mb,download_time_sec
1878.96,328.8
4754.06,871.57
3662.65,601.57
2997.31,575.07
788.53,141.32
788.41,157.07
299.84,36.93
4332.22,692.34
3009.56,543.12
3543.28,549.24
112.72,19.03
4849.85,805.76
4163.89,606.88
1069.57,153.38
917.31,165.61
925.19,163.5
1528.17,257.37
2628.53,666.36
2165.41,459.57
1463.23,192.31
3063.15,393.24
706.07,118.57
1467.8,215.42
1838.15,280.27
2285.79,245.3
3928.03,534.11
1006.37,165.0
2576.03,489.2
2966.15,639.61
241.79,37.9
3041.65,555.11
860.92,180.17
334.61,59.99
4744.94,918.33
4828.5,608.4
4043.9,569.04
1530.02,246.75
497.38,65.31
3424.32,543.98
2206.36,411.9
618.97,80.95
2480.93,368.48
181.6,35.18
4547.51,750.63
1301.31,242.6
3315.99,681.38
1565.44,219.28
2605.14,323.42
2738.08,564.45
932.42,137.05
4848.23,866.76
3877.91,676.99
4698.1,830.97
4475.19,831.95
2993.52,475.34
4610.15,850.97
451.58,75.73
987.95,164.39
235.68,39.22
1633.4,310.29
1949.5,345.16
1364.03,197.75
4145.4,614.96
1790.2,340.63
1411.86,223.37
2718.05,389.86
713.21,155.93
4012.96,590.76
382.01,68.92
4934.57,725.31
3863.5,704.49
1001.59,227.0
37.56,13.38
4079.15,647.83
3537.22,545.05
3647.75,683.25
3858.64,563.19
379.48,83.0
1798.74,292.64
588.19,119.46
4316.89,775.47
3120.26,497.21
1661.18,309.25
327.16,57.22
1561.8,218.28
1632.66,289.06
3650.73,515.27
3191.41,627.3
4437.19,656.23
2366.35,309.35
606.78,160.96
3569.09,656.12
3806.32,558.28
2810.77,466.4
3857.13,582.72
2474.04,439.8
2618.44,424.39
2143.43,351.78
136.84,24.12
548.38,85.09
166.83,28.39
3185.69,547.96
1578.64,275.21
2547.77,439.97
4538.76,686.25
1253.97,215.9
2057.81,315.25
3780.2,455.71
1151.7,164.2
394.13,68.69
1455.86,197.78
814.49,140.28
4649.19,1106.38
4042.52,771.38
3170.68,725.21
4358.59,738.94
4020.32,641.95
940.98,119.4
4463.87,679.47
2701.32,449.7
4039.13,571.28
4481.5,1110.49
1596.84,246.62
559.16,80.34
1147.4,240.86
2141.27,289.72
4091.89,622.45
4305.05,739.49
44.69,7.94
2558.63,301.22
2092.88,326.11
1118.32,175.08
608.13,106.12
1694.7,314.8
4715.12,665.98
1622.78,301.48
2598.77,411.81
3518.06,610.23
1824.51,272.44
4859.19,739.21
4812.61,661.79
1266.39,222.8
2491.27,419.11
1511.38,288.62
1431.35,251.21
194.07,29.31
3051.73,435.85
2518.37,472.69
266.88,39.05
1400.45,187.56
4542.25,682.09
1205.41,152.25
733.03,133.95
2452.37,494.04
4928.4,1102.88
1217.86,157.38
3363.96,488.22
3810.48,615.59
1195.81,183.63
3643.8,711.6
1845.24,214.64
3165.21,497.34
3171.31,499.24
2683.52,386.11
460.55,70.31
4178.16,645.86
1610.69,295.82
940.73,140.15
213.47,26.55
2958.56,391.23
3391.05,432.66
92.77,17.28
2565.34,489.52
1140.21,186.35
3229.41,513.4
880.09,120.28
3457.78,763.64
1939.81,250.34
4684.28,771.38
696.23,120.76
1711.92,326.9
576.23,126.9
4624.22,658.31
4387.92,695.31
1297.13,264.08
3303.32,669.91
4087.94,691.59
2780.45,351.47
2652.96,444.28
1216.84,257.14
474.58,81.79
4487.11,754.15
4503.09,1268.02
3169.18,511.92
1701.76,285.0
1752.56,252.79
3632.52,451.11
4486.58,609.05
4436.56,743.41
3901.58,758.7
3213.74,365.7
429.86,69.03
816.53,131.68
4493.79,722.07
3036.08,472.85
55.89,12.13
516.34,91.33
3320.87,582.44
35.26,5.71
812.43,143.91
2748.18,497.72
3462.56,545.92
3263.29,544.73
1129.1,146.36
3563.77,991.56
1193.87,163.65
1633.74,224.55
3734.99,894.48
3251.67,552.23
4247.62,723.34
3291.49,680.55
2845.86,521.96
477.44,94.67
1844.9,237.66
1333.36,185.76
1227.51,163.36
4865.32,699.8
1971.56,386.29
4461.31,779.68
3159.38,468.92
3976.11,790.95
2518.16,365.02
2888.75,481.0
2467.66,420.6
984.26,141.78
3615.04,540.68
1411.05,239.71
131.34,18.82
3230.91,625.17
893.78,132.59
4702.89,687.64
4770.1,804.15
4575.17,698.9
1857.09,373.08
