CustomerID,Annual_Income,Spending_Score,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster,Squared_Distance_to_New_Centroid
1000,59.9,58,49.1529,8.6579,62.2707,2,203.9616
1001,48.4,37,52.8825,22.1903,53.0329,2,187.613
1002,70.5,26,76.0543,38.1791,29.5797,3,263.6988
1003,81.1,30,81.6897,41.5817,28.1603,3,41.6879
1004,42.1,58,33.681,9.2542,72.3464,2,84.3255
1005,36.7,73,22.2686,20.2277,87.44,2,618.0297
1006,90.4,34,87.2993,46.4092,31.0272,3,65.1343
1007,74.8,35,73.6549,33.5894,35.0498,2,983.4349
1008,42.3,43,44.3879,18.3576,61.5649,2,87.4314
1009,48.6,61,37.6558,3.3601,70.7407,2,107.5065
1010,21.2,52,26.729,30.9032,83.7342,1,140.3681
1011,47.2,67,34.027,8.9894,76.4958,2,266.6642
1012,45.4,48,42.7102,12.4824,62.7271,2,12.1764
1013,15,78,0,40.9718,105.4315,1,232.2414
1014,25.9,65,16.965,26.099,88.5338,1,29.2747
1015,35.3,54,31.4339,16.7631,74.1312,2,163.3103
1016,39.7,49,38.0932,15.3154,67.5008,2,65.8438
1017,55.9,43,53.8313,16.6481,51.9831,2,127.1587
1018,38.5,59,30.22,12.8,75.4742,2,152.8173
1019,15,64,14,36.6427,95.9782,1,31.5747
1020,89,23,92.2009,52.1276,20.0002,3,19.7852
1021,44.1,51,39.6965,10.7629,65.7951,2,12.6326
1022,44.4,52,39.2474,9.829,66.3256,2,12.2468
1023,26.9,37,42.692,32.8536,70.8861,2,617.1587
1024,24.2,65,15.9261,27.7563,89.7553,1,14.2014
1025,50.7,39,52.8724,20.009,52.6361,2,145.6973
1026,21.2,50,28.6782,31.4167,82.5797,1,191.7014
1027,40.2,36,48.98,25.5384,58.9933,2,270.7318
1028,24.4,42,37.207,31.8215,75.5453,2,615.3454
1029,50.9,36,55.2522,23.0035,50.4801,2,226.0179
1030,31.6,50,32.5509,21.6585,74.2647,2,257.7206
1031,99.1,42,91.4812,50.733,40.2616,3,383.797
1032,41.3,48,39.896,14.8661,65.6494,2,47.3497
1033,17.5,65,13.2382,34.3284,94.713,1,11.0747
1034,62.1,46,56.9422,16.9009,50.774,2,230.9734
1035,37.5,56,31.4682,14.1223,73.97,2,131.1526
1036,48,49,43.9318,10.5304,61.6864,2,2.9392
1037,15,50,28,37.3991,87.7486,1,222.9081
1038,27.1,73,13.0924,27.9578,93.5094,1,126.0614
1039,53.2,66,40.0405,7.2533,72.5108,2,265.7431
1040,87.7,16,95.5473,56.3379,13.0752,3,117.997
1041,59,35,61.5224,25.205,43.9319,2,374.8011
1042,40.9,51,37.414,13.121,68.0238,2,45.5249
1043,31.4,48,34.1901,22.7379,73.173,2,270.8806
1044,20.7,66,13.285,31.3904,92.9923,1,4.7014
1045,36.9,48,37.1431,18.1207,68.9191,2,122.4968
1046,30.7,79,15.7318,28.7117,95.8465,1,331.7014
1047,64.9,53,55.8123,14.8647,55.5485,2,303.3278
1048,53.8,49,48.4401,10.3078,57.9835,2,40.7617
1049,20,71,8.6023,33.5215,96.9475,1,51.7414
1050,51.3,59,40.9718,0,67.5636,2,82.6878
1051,34.1,51,33.0728,18.9694,73,2,183.4213
1052,34.8,48,35.945,19.8305,70.523,2,172.0124
1053,70,41,66.2873,25.9555,42.5301,2,593.6209
1054,82.3,42,76.3236,35.3553,39.5884,2,1276.6286
1055,77.7,37,74.9152,34.3651,35.8603,2,1090.672
1056,18.2,47,31.1647,35.2081,83.4435,1,289.2014
1057,34.6,48,35.8352,19.9972,70.6771,2,177.1882
1058,39,52,35.3836,14.1524,70.0786,2,76.3927
1059,70.5,38,68.4124,28.4542,39.6353,2,683.2878
1060,37.7,75,22.8974,20.999,88.4645,2,690.4466
1061,32.2,43,38.9979,24.9161,69.5529,2,297.298
1062,22,66,13.8924,30.1246,92.0403,1,6.6081
1063,19.6,77,4.7074,36.4539,101.5197,1,174.3947
1064,80.9,57,69.1651,29.6675,54.619,2,1146.2573
1065,77.7,30,78.9639,39.2168,29.308,3,91.4516
1066,38,59,29.8329,13.3,75.8104,2,162.2068
1067,79.1,41,74.0122,33.1186,39.2938,2,1083.3931
1068,46.6,52,40.9214,8.4315,64.8633,2,2.8333
1069,34.4,55,30.0892,17.3669,75.4724,2,193.9792
1070,64.4,47,58.3212,17.7654,50.4588,2,294.4299
1071,89.1,3,105.4315,67.5636,0,3,572.9788
1072,35.2,62,25.769,16.3771,79.9138,2,282.9713
1073,98.1,26,98.0286,57.2646,24.6982,3,130.2152
1074,21.5,56,22.9401,29.9506,85.8997,1,62.1414
1075,62.8,62,50.4067,11.8849,64.5964,2,358.0744
