CustomerID,Annual_Income,Spending_Score
1000,59.9,58
1001,48.4,37
1002,70.5,26
1003,81.1,30
1004,42.1,58
1005,36.7,73
1006,90.4,34
1007,74.8,35
1008,42.3,43
1009,48.6,61
1010,21.2,52
1011,47.2,67
1012,45.4,48
1013,15,78
1014,25.9,65
1015,35.3,54
1016,39.7,49
1017,55.9,43
1018,38.5,59
1019,15,64
1020,89,23
1021,44.1,51
1022,44.4,52
1023,26.9,37
1024,24.2,65
1025,50.7,39
1026,21.2,50
1027,40.2,36
1028,24.4,42
1029,50.9,36
1030,31.6,50
1031,99.1,42
1032,41.3,48
1033,17.5,65
1034,62.1,46
1035,37.5,56
1036,48,49
1037,15,50
1038,27.1,73
1039,53.2,66
1040,87.7,16
1041,59,35
1042,40.9,51
1043,31.4,48
1044,20.7,66
1045,36.9,48
1046,30.7,79
1047,64.9,53
1048,53.8,49
1049,20,71
1050,51.3,59
1051,34.1,51
1052,34.8,48
1053,70,41
1054,82.3,42
1055,77.7,37
1056,18.2,47
1057,34.6,48
1058,39,52
1059,70.5,38
1060,37.7,75
1061,32.2,43
1062,22,66
1063,19.6,77
1064,80.9,57
1065,77.7,30
1066,38,59
1067,79.1,41
1068,46.6,52
1069,34.4,55
1070,64.4,47
1071,89.1,3
1072,35.2,62
1073,98.1,26
1074,21.5,56
1075,62.8,62
1076,54,41
1077,54.3,44
1078,38.4,74
1079,15,53
1080,50.1,44
1081,53.2,46
1082,86.9,38
1083,41.1,56
1084,37.9,42
1085,27.8,54
1086,84.3,27
1087,60.4,44
1088,36.6,60
1089,52.5,52
1090,35.2,37
1091,69.3,50
1092,39.4,57
1093,39.7,68
1094,49.2,55
1095,21.3,72
1096,53.7,52
1097,41,66
1098,45.4,57
1099,40.6,53
