Palabras_Sospechosas,Cantidad_Links,Spam
0,0,0
1,0,0
0,1,0
2,0,0
1,1,0
2,1,0
3,0,0
2,2,0
3,1,0
4,0,0
1,2,0
3,2,0
4,1,0
0,2,0
2,0,0
1,0,0
4,1,0
3,0,0
2,1,0
4,2,0
1,1,0
0,0,0
3,1,0
2,2,0
4,0,0
1,2,0
3,0,0
2,1,0
4,1,0
3,2,0
5,0,1
4,2,1
5,1,1
6,1,1
5,2,1
7,2,1
6,3,1
8,2,1
7,3,1
9,3,1
5,3,1
8,4,1
6,2,1
9,2,1
7,4,1
10,3,1
6,4,1
8,3,1
9,4,1
10,4,1
4,3,1
5,2,1
7,1,1
6,2,1
8,2,1
5,3,1
9,3,1
7,2,1
10,2,1
6,3,1
8,4,1
9,2,1
5,4,1
7,3,1
10,4,1
6,1,1
8,3,1
9,4,1
7,4,1
5,3,1
6,3,1
8,2,1
9,3,1
10,3,1
7,2,1
6,4,1
8,3,1
9,4,1
5,2,1
7,3,1
10,2,1
6,2,1
8,4,1
9,3,1
5,3,1
7,4,1
6,3,1
10,4,1
8,2,1
9,4,1
5,2,1
7,1,1
6,4,1
8,3,1
9,2,1
10,4,1
